engine,model,variant,iter,startup_s
python,Qwen2.5-3B-Instruct,warm,52,26.4916
python,Qwen2.5-3B-Instruct,warm,53,26.2640
python,Qwen2.5-3B-Instruct,warm,54,26.1308
python,Qwen2.5-3B-Instruct,warm,55,26.4233
python,Qwen2.5-3B-Instruct,warm,56,26.4174
python,Qwen2.5-3B-Instruct,warm,57,26.5587
python,Qwen2.5-3B-Instruct,warm,58,26.0974
python,Qwen2.5-3B-Instruct,warm,59,26.6307
python,Qwen2.5-3B-Instruct,warm,60,26.4041
python,Qwen2.5-3B-Instruct,warm,61,26.1875
python,Qwen2.5-3B-Instruct,warm,62,26.0791
python,Qwen2.5-3B-Instruct,warm,63,25.9841
python,Qwen2.5-3B-Instruct,warm,64,26.1162
python,Qwen2.5-3B-Instruct,warm,65,26.3973
python,Qwen2.5-3B-Instruct,warm,66,26.4174
python,Qwen2.5-3B-Instruct,warm,67,26.0575
python,Qwen2.5-3B-Instruct,warm,68,26.3399
python,Qwen2.5-3B-Instruct,warm,69,25.9841
python,Qwen2.5-3B-Instruct,warm,70,26.4696
python,Qwen2.5-3B-Instruct,warm,71,26.1792
python,Qwen2.5-3B-Instruct,warm,72,26.6976
python,Qwen2.5-3B-Instruct,warm,73,26.3166
python,Qwen2.5-3B-Instruct,warm,74,26.9776
python,Qwen2.5-3B-Instruct,warm,75,26.2812
python,Qwen2.5-3B-Instruct,warm,76,26.6814
python,Qwen2.5-3B-Instruct,warm,77,26.4667
python,Qwen2.5-3B-Instruct,warm,78,26.6809
python,Qwen2.5-3B-Instruct,warm,79,26.4014
python,Qwen2.5-3B-Instruct,warm,80,26.3516
python,Qwen2.5-3B-Instruct,warm,81,26.3237
python,Qwen2.5-3B-Instruct,warm,82,26.1443
python,Qwen2.5-3B-Instruct,warm,83,26.1567
python,Qwen2.5-3B-Instruct,warm,84,26.1346
python,Qwen2.5-3B-Instruct,warm,85,25.8686
python,Qwen2.5-3B-Instruct,warm,86,26.1327
python,Qwen2.5-3B-Instruct,warm,87,26.6372
python,Qwen2.5-3B-Instruct,warm,88,26.2056
python,Qwen2.5-3B-Instruct,warm,89,26.6068
python,Qwen2.5-3B-Instruct,warm,90,25.9799
python,Qwen2.5-3B-Instruct,warm,91,26.6488
python,Qwen2.5-3B-Instruct,warm,92,26.1029
python,Qwen2.5-3B-Instruct,warm,93,26.4061
python,Qwen2.5-3B-Instruct,warm,94,26.2846
python,Qwen2.5-3B-Instruct,warm,95,26.5678
python,Qwen2.5-3B-Instruct,warm,96,26.0797
python,Qwen2.5-3B-Instruct,warm,97,26.0776
python,Qwen2.5-3B-Instruct,warm,98,26.3554
python,Qwen2.5-3B-Instruct,warm,99,26.4433
python,Qwen2.5-3B-Instruct,warm,100,26.2956
rust,Qwen2.5-3B-Instruct,warm,1,2.5623
rust,Qwen2.5-3B-Instruct,warm,2,2.4053
rust,Qwen2.5-3B-Instruct,warm,3,2.4025
rust,Qwen2.5-3B-Instruct,warm,4,2.3526
rust,Qwen2.5-3B-Instruct,warm,5,2.3501
rust,Qwen2.5-3B-Instruct,warm,6,2.3499
rust,Qwen2.5-3B-Instruct,warm,7,2.4585
rust,Qwen2.5-3B-Instruct,warm,8,2.4016
rust,Qwen2.5-3B-Instruct,warm,9,2.7188
rust,Qwen2.5-3B-Instruct,warm,10,2.5588
rust,Qwen2.5-3B-Instruct,warm,11,2.5098
rust,Qwen2.5-3B-Instruct,warm,12,2.5565
rust,Qwen2.5-3B-Instruct,warm,13,2.4577
rust,Qwen2.5-3B-Instruct,warm,14,2.5086
rust,Qwen2.5-3B-Instruct,warm,15,2.3515
rust,Qwen2.5-3B-Instruct,warm,16,2.5516
rust,Qwen2.5-3B-Instruct,warm,17,2.5511
rust,Qwen2.5-3B-Instruct,warm,18,2.4582
rust,Qwen2.5-3B-Instruct,warm,19,2.5537
rust,Qwen2.5-3B-Instruct,warm,20,2.4066
rust,Qwen2.5-3B-Instruct,warm,21,2.4014
rust,Qwen2.5-3B-Instruct,warm,22,2.3485
rust,Qwen2.5-3B-Instruct,warm,23,2.4968
rust,Qwen2.5-3B-Instruct,warm,24,2.4975
rust,Qwen2.5-3B-Instruct,warm,25,2.5057
rust,Qwen2.5-3B-Instruct,warm,26,2.4555
rust,Qwen2.5-3B-Instruct,warm,27,2.3516
rust,Qwen2.5-3B-Instruct,warm,28,2.4048
rust,Qwen2.5-3B-Instruct,warm,29,2.3533
rust,Qwen2.5-3B-Instruct,warm,30,2.3492
rust,Qwen2.5-3B-Instruct,warm,31,2.3544
rust,Qwen2.5-3B-Instruct,warm,32,2.4037
rust,Qwen2.5-3B-Instruct,warm,33,2.4561
rust,Qwen2.5-3B-Instruct,warm,34,2.4044
rust,Qwen2.5-3B-Instruct,warm,35,2.5531
rust,Qwen2.5-3B-Instruct,warm,36,2.4514
rust,Qwen2.5-3B-Instruct,warm,37,2.3490
rust,Qwen2.5-3B-Instruct,warm,38,2.3515
rust,Qwen2.5-3B-Instruct,warm,39,2.4024
rust,Qwen2.5-3B-Instruct,warm,40,2.4014
rust,Qwen2.5-3B-Instruct,warm,41,2.4046
rust,Qwen2.5-3B-Instruct,warm,42,2.4016
rust,Qwen2.5-3B-Instruct,warm,43,2.4016
rust,Qwen2.5-3B-Instruct,warm,44,2.5561
rust,Qwen2.5-3B-Instruct,warm,45,2.4576
rust,Qwen2.5-3B-Instruct,warm,46,2.4011
rust,Qwen2.5-3B-Instruct,warm,47,2.4094
rust,Qwen2.5-3B-Instruct,warm,48,2.4054
rust,Qwen2.5-3B-Instruct,warm,49,2.4980
rust,Qwen2.5-3B-Instruct,warm,50,2.5511
rust,Qwen2.5-3B-Instruct,warm,51,2.4094
rust,Qwen2.5-3B-Instruct,warm,52,2.5053
rust,Qwen2.5-3B-Instruct,warm,53,2.5511
rust,Qwen2.5-3B-Instruct,warm,54,2.5002
rust,Qwen2.5-3B-Instruct,warm,55,2.4546
rust,Qwen2.5-3B-Instruct,warm,56,2.5513
rust,Qwen2.5-3B-Instruct,warm,57,2.5509
rust,Qwen2.5-3B-Instruct,warm,58,2.4989
rust,Qwen2.5-3B-Instruct,warm,59,2.4545
rust,Qwen2.5-3B-Instruct,warm,60,2.7122
rust,Qwen2.5-3B-Instruct,warm,61,2.5513
rust,Qwen2.5-3B-Instruct,warm,62,2.4030
rust,Qwen2.5-3B-Instruct,warm,63,2.5647
rust,Qwen2.5-3B-Instruct,warm,64,2.4586
rust,Qwen2.5-3B-Instruct,warm,65,2.3536
rust,Qwen2.5-3B-Instruct,warm,66,2.4090
rust,Qwen2.5-3B-Instruct,warm,67,2.4653
rust,Qwen2.5-3B-Instruct,warm,68,2.4038
rust,Qwen2.5-3B-Instruct,warm,69,2.3516
rust,Qwen2.5-3B-Instruct,warm,70,2.3509
rust,Qwen2.5-3B-Instruct,warm,71,2.5623
rust,Qwen2.5-3B-Instruct,warm,72,2.4587
rust,Qwen2.5-3B-Instruct,warm,73,2.7142
rust,Qwen2.5-3B-Instruct,warm,74,2.4027
rust,Qwen2.5-3B-Instruct,warm,75,2.4051
rust,Qwen2.5-3B-Instruct,warm,76,2.4008
rust,Qwen2.5-3B-Instruct,warm,77,2.3511
rust,Qwen2.5-3B-Instruct,warm,78,2.4023
rust,Qwen2.5-3B-Instruct,warm,79,2.4053
rust,Qwen2.5-3B-Instruct,warm,80,2.3505
rust,Qwen2.5-3B-Instruct,warm,81,2.3477
rust,Qwen2.5-3B-Instruct,warm,82,2.3518
rust,Qwen2.5-3B-Instruct,warm,83,2.4026
rust,Qwen2.5-3B-Instruct,warm,84,2.4071
rust,Qwen2.5-3B-Instruct,warm,85,2.4024
rust,Qwen2.5-3B-Instruct,warm,86,2.2987
rust,Qwen2.5-3B-Instruct,warm,87,2.4014
rust,Qwen2.5-3B-Instruct,warm,88,2.4020
rust,Qwen2.5-3B-Instruct,warm,89,2.3479
rust,Qwen2.5-3B-Instruct,warm,90,2.4036
rust,Qwen2.5-3B-Instruct,warm,91,2.3483
rust,Qwen2.5-3B-Instruct,warm,92,2.5710
rust,Qwen2.5-3B-Instruct,warm,93,2.5042
rust,Qwen2.5-3B-Instruct,warm,94,2.5076
rust,Qwen2.5-3B-Instruct,warm,95,2.4011
rust,Qwen2.5-3B-Instruct,warm,96,2.4068
rust,Qwen2.5-3B-Instruct,warm,97,2.5518
rust,Qwen2.5-3B-Instruct,warm,98,2.5595
rust,Qwen2.5-3B-Instruct,warm,99,2.4545
rust,Qwen2.5-3B-Instruct,warm,100,2.6078
